RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
40381,Wieczorek,,,,,,,SPD,Duisburg
40383,Timm,weiblich,,,Dr.,,,SPD,
40390,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40391,Günther,,,,,,,CDU/CSU,
40392,Diederich,,,,Dr.,,,SPD,Berlin
40393,Boroffka,,,,,,,CDU/CSU,
40395,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40396,Waltemathe,,,,,,,SPD,
40400,Diederich,,,,Dr.,,,SPD,Berlin
40401,Gerster,,,,,,,CDU/CSU,Mainz
40404,Stockhausen,,,,,,,CDU/CSU,
40405,Kolb,,,,,,,CDU/CSU,
40406,Kolb,,,,,,,CDU/CSU,
40408,Fuchs,weiblich,,,,,,SPD,Köln
40410,Kolb,,,,,,,CDU/CSU,
40414,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40416,Rose,,,,Dr.,,,CDU/CSU,
40418,Kolb,,,,,,,CDU/CSU,
40424,Matthäus-Maier,weiblich,,,,,,SPD,
40426,Zander,,,,,,,SPD,
40430,Roth,,,,,,,CDU/CSU,Gießen
40431,Roth,,,,,,,CDU/CSU,Gießen
40433,Zander,,,,,,,SPD,
40437,Walther,,,,,,,SPD,
40441,Seiters,,,,,,,CDU/CSU,
40445,Carstensen,,,,,,,CDU/CSU,Nordstrand
40446,Stockhausen,,,,,,,CDU/CSU,
40449,Tatge,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40451,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40453,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40455,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40457,Seiters,,,,,,,CDU/CSU,
40475,Dreßler,,,,,,,SPD,
40498,Pfeffermann,,,,,,,CDU/CSU,
405,Waigel,,,,Dr.,,,CDU/CSU,
40502,Dreßler,,,,,,,SPD,
40507,Ehrenberg,,,,Dr.,,,SPD,
40513,Dreßler,,,,,,,SPD,
40520,Dreßler,,,,,,,SPD,
40525,Dreßler,,,,,,,SPD,
40526,Dreßler,,,,,,,SPD,
40529,Dreßler,,,,,,,SPD,
40532,Dreßler,,,,,,,SPD,
40538,Ehrenberg,,,,Dr.,,,SPD,
40542,Feilcke,,,,,,,CDU/CSU,
4055,Krizsan,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40562,Pfeffermann,,,,,,,CDU/CSU,
40576,Bernrath,,,,,,,SPD,
40581,Paterna,,,,,,,SPD,
40582,Pfeffermann,,,,,,,CDU/CSU,
40583,Paterna,,,,,,,SPD,
4062,Duve,,,,,,,SPD,
40657,Klejdzinski,,,,Dr.,,,SPD,
40664,Horn,,,,,,,SPD,
40665,Horn,,,,,,,SPD,
40673,Rusche,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40679,Emmerlich,,,,Dr.,,,SPD,
40695,Fuchs,weiblich,,,,,,SPD,Köln
40697,Fuchs,weiblich,,,,,,SPD,Köln
40698,Fuchs,weiblich,,,,,,SPD,Köln
40700,Hornung,,,,,,,CDU/CSU,
40702,Fuchs,weiblich,,,,,,SPD,Köln
40704,Kolb,,,,,,,CDU/CSU,
40706,Kolb,,,,,,,CDU/CSU,
40707,Scharrenbroich,,,,,,,CDU/CSU,
40709,Emmerlich,,,,Dr.,,,SPD,
40710,Dreßler,,,,,,,SPD,
40711,Vogel,,,,Dr.,,,SPD,
40712,Hornung,,,,,,,CDU/CSU,
40713,Fuchs,weiblich,,,,,,SPD,Köln
40715,Fuchs,weiblich,,,,,,SPD,Köln
40716,Kolb,,,,,,,CDU/CSU,
40717,Kolb,,,,,,,CDU/CSU,
40719,Fuchs,weiblich,,,,,,SPD,Köln
40723,Fuchs,weiblich,,,,,,SPD,Köln
40723,Vogel,,,,Dr.,,,SPD,
40725,Vogel,,,,Dr.,,,SPD,
40728,Stahl,,,,,,,SPD,Kempen
40730,Schäfer,,,,,,,SPD,Offenburg
40732,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40739,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40741,Vogel,,,,Dr.,,,SPD,
40742,Gerstein,,,,,,,CDU/CSU,
40743,Hauff,,,,Dr.,,,SPD,
40745,Gerstein,,,,,,,CDU/CSU,
40747,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40753,Vogel,,,,Dr.,,,SPD,
40757,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
40759,Bohl,,,,,,,CDU/CSU,
40760,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40761,Ströbele,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40762,Stahl,,,,,,,SPD,Kempen
40766,Stahl,,,,,,,SPD,Kempen
40768,Däubler-Gmelin,weiblich,,,Dr.,,,SPD,
40770,Odendahl,weiblich,,,,,,SPD,
40773,Däubler-Gmelin,weiblich,,,Dr.,,,SPD,
40776,Däubler-Gmelin,weiblich,,,Dr.,,,SPD,
40778,Zeitler,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40780,Fuchs,weiblich,,,,,,SPD,Köln
40782,Däubler-Gmelin,weiblich,,,,,,SPD,
40786,Jung,,,,,,,CDU/CSU,Lörrach
40788,Bötsch,,,,Dr.,,,CDU/CSU,
40790,Odendahl,weiblich,,,,,,SPD,
40796,Jung,,,,,,,CDU/CSU,Lörrach
40799,Däubler-Gmelin,weiblich,,,Dr.,,,SPD,
40806,Bötsch,,,,Dr.,,,CDU/CSU,
40807,Helmrich,,,,,,,CDU/CSU,
40808,Bötsch,,,,Dr.,,,CDU/CSU,
40811,Stark,,,,Dr.,,,CDU/CSU,Nürtingen
40814,Weiß,,,,,,,CDU/CSU,
40825,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40829,Marschewski,,,,,,,CDU/CSU,
40833,Emmerlich,,,,Dr.,,,SPD,
40834,With,,,,Dr.,de,,SPD,
40838,Stark,,,,Dr.,,,CDU/CSU,
40838,Klein,,,,,,,SPD,Dieburg
40842,Stiegler,,,,,,,SPD,
40846,Stark,,,,Dr.,,,CDU/CSU,Nürtingen
40848,With,,,,Dr.,de,,SPD,
40850,Beckmann,,,,,,,FDP,
40852,With,,,,Dr.,de,,SPD,
40853,With,,,,Dr.,de,,SPD,
40858,With,,,,Dr.,de,,SPD,
40859,Bohl,,,,,,,CDU/CSU,
40860,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40860,With,,,,Dr.,de,,SPD,
40864,Feilcke,,,,,,,CDU/CSU,
40866,Feilcke,,,,,,,CDU/CSU,
40867,Feilcke,,,,,,,CDU/CSU,
40868,Kansy,,,,Dr.-Ing.,,,CDU/CSU,
40871,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
40892,Bindig,,,,,,,SPD,
40894,Repnik,,,,,,,CDU/CSU,
40895,Schwörer,,,,Dr.,,,CDU/CSU,
40896,Uldall,,,,,zu,,CDU/CSU,
40896,Struck,,,,Dr.,,,SPD,
40899,Repnik,,,,,,,CDU/CSU,
40906,Urbaniak,,,,,,,SPD,
40907,Schwörer,,,,Dr.,,,CDU/CSU,
40913,Struck,,,,Dr.,,,SPD,
