RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
113287,Bohl,,,,,,CDU/CSU,
113291,Faltlhauser,,,Dr.,,,CDU/CSU,
113293,Esters,,,,,,SPD,
113295,Hinsken,,,,,,CDU/CSU,
113297,Däubler-Gmelin,,,Dr.,,,SPD,
113298,Weng,,,Dr.,,,FDP,Gerlingen
113299,Däubler-Gmelin,,,Dr.,,,SPD,
113301,Reimann,,,,,,SPD,
113303,Vogel,,,Dr.,,,SPD,
113304,Penner,,,Dr.,,,SPD,
113305,Däubler-Gmelin,,,Dr.,,,SPD,
113313,Schily,,,,,,SPD,
113314,Däubler-Gmelin,,,Dr.,,,SPD,
113316,Göhner,,,Dr.,,,CDU/CSU,
113320,Weng,,,Dr.,,,FDP,Gerlingen
113321,Weng,,,Dr.,,,FDP,Gerlingen
113322,Weng,,,Dr.,,,FDP,Gerlingen
113328,Däubler-Gmelin,,,Dr.,,,SPD,
113330,Weng,,,Dr.,,,FDP,Gerlingen
113332,Vogel,,,Dr.,,,SPD,
113338,Weng,,,Dr.,,,FDP,Gerlingen
113349,Weng,,,Dr.,,,FDP,Gerlingen
113354,Struck,,,Dr.,,,SPD,
113361,Hämmerle,,,,,,SPD,
113365,Müntefering,,,,,,SPD,
113376,Reddemann,,,,,,CDU/CSU,
113377,Geißler,,,Dr.,,,CDU/CSU,
113381,Koschnick,,,,,,SPD,
113383,Verheugen,,,,,,SPD,
113385,Voigt,,,,,,SPD,Frankfurt
113388,Verheugen,,,,,,SPD,
113392,Verheugen,,,,,,SPD,
113396,Koschnick,,,,,,SPD,
113399,Schäfer,,,,,,SPD,Offenburg
113401,Kittelmann,,,,,,CDU/CSU,
113405,Eylmann,,,,,,CDU/CSU,
113417,Bachmaier,,,,,,SPD,
113421,Geis,,,,,,CDU/CSU,
113424,Nolting,,,,,,FDP,
113426,Schäfer,,,,,,SPD,Offenburg
113430,Nolting,,,,,,FDP,
113430,Bindig,,,,,,SPD,
113435,Schäfer,,,,,,SPD,Offenburg
113437,Hornung,,,,,,CDU/CSU,
113439,Sielaff,,,,,,,
113441,Schäfer,,,,,,SPD,Offenburg
113446,Sielaff,,,,,,SPD,
113449,Thalheim,,,Dr.,,,SPD,
113460,Oostergetelo,,,,,,SPD,
113463,Schäfer,,,,,,SPD,Offenburg
113467,Schäfer,,,,,,SPD,Offenburg
113469,Hornung,,,,,,CDU/CSU,
113470,Sielaff,,,,,,SPD,
113473,Schäfer,,,,,,SPD,Offenburg
113474,Rixe,,,,,,SPD,
113475,Schäfer,,,,,,SPD,Offenburg
113475,Ostergetelo,,,,,,SPD,
113477,Schäfer,,,,,,SPD,Offenburg
113478,Rixe,,,,,,SPD,
113479,Sielaff,,,,,,SPD,
113480,Seesing,,,,,,CDU/CSU,
113484,Hämmerle,,,,,,SPD,
113486,Babel,,,Dr.,,,FDP,
113490,Werner,,,,,,CDU/CSU,Ulm
113492,Babel,,,Dr.,,,FDP,
113494,Krause,,,Dr.,,,CDU/CSU,Bonese
113495,Köppe,,,,,,BÜNDNIS 90/DIE GRÜNEN,
113498,Conradi,,,,,,SPD,
113499,Nolting,,,,,,FDP,
113503,Friedrich,,,,,,FDP,
113505,Eimer,,,,,,FDP,Fürth
113506,Conradi,,,,,,SPD,
113511,Eimer,,,,,,FDP,Fürth
113522,Bühler,,,,,,CDU/CSU,Bruchsal
113524,Lamers,,,,,,CDU/CSU,
113526,Lamers,,,,,,CDU/CSU,
113528,Duve,,,,,,SPD,
113530,Kuhlwein,,,,,,SPD,
113533,Kuhlwein,,,,,,SPD,
113534,Reddemann,,,,,,CDU/CSU,
113538,Mahlo,,,Dr.,,,CDU/CSU,
113542,Koschyk,,,,,,CDU/CSU,
