RB_ID,KO_Name
2167,Rudi Walter [SPD]
2167,Klaus Rose [CDU/CSU]
2167,Friedrich Bohl [CDU/CSU]
2167,Weng [Gerlingen] [FDP]
2167,Schäfer [Offenburg] [SPD]
2167,Dr. Burkhard Hirsch [FDP]
2167,Kansy [CDU/CSU]
2167,Ulrich Irmer [FDP]
2167,Dr. Jürgen Rüttgers [CDU/CSU]
2167,Vogel [SPD]
2167,Dr. Hans-Jochen Vogel [SPD]
2167,Dr. Hans-Jochen Vogel [SPD]
2167,Anke Fuchs [Köln] [SPD]
2167,Freimut Duve [SPD]
2167,Katrin Fuchs [Verl] [SPD]
2167,Dieter Heistermann [SPD]
2167,Roland Sauer [Stuttgart] [CDU/CSU]
2167,Dr. Uwe Küster [SPD]
2167,Uta Würfel [FDP]
2167,Pfuhl [SPD]
2167,Carstensen [Nordstrand] [CDU/CSU]
2167,Brigitte Adler [SPD]
2167,Christina Schenk [Bündnis 90/GRÜNE]
2167,Ingrid Matthäus-Maier [SPD]
2167,Dr. Wolfgang Bötsch [CDU/CSU]
2167,Duve [SPD]
2167,Klaus Kirschner [SPD]
2167,Dr. Werner Hoyer [FDP]
2167,Günter Verheugen [SPD]
2167,Vogel [SPD]
2167,Struck [SPD]
2167,Wiefelspütz [SPD]
2167,Brigitte Schulte [Hameln] [SPD]
2167,Nehmen wir als nächstes den Subventionsabbau. (Ingrid Matthäus-Maier [SPD]
2167,Roitzsch [Quickborn] [CDU/CSU]
2167,Johannes Gerster [Mainz] [CDU/CSU]
2167,Helmut Wieczorek [Duisburg] [SPD]
2167,Ernst Hinsken [CDU/CSU]
2167,Otto Solms [FDP]
2167,Weng [Gerlingen] [FDP]
2167,Lamers [CDU/CSU]
2167,Eckart Kuhlwein [SPD]
2167,Dr. Jürgen Rüttgers [CDU/CSU]
2167,Franz Müntefering [SPD]
2167,Schäuble [CDU/CSU]
2167,Gunnar Uldall [CDU/CSU]
2167,Grünbeck [FDP]
2167,Larcher [SPD]
2167,Ulrich Klinkert [CDU/CSU]
2167,Harald B. Schäfer [Offenburg] [SPD]
2167,Klose [SPD]
2167,Dr. Friedbert Pflüger [CDU/CSU]
2167,Brigitte Baumeister [CDU/CSU]
2167,Olderog [CDU/CSU]
2167,Josef Vosen [SPD]
2167,Eduard Lintner [CDU/CSU]
2167,Schäuble [CDU/CSU]
2167,Dr. Christine Lucyga [SPD]
2167,Josef Grünbeck [F.D.P.]
2168,Dr. Reinhard Meyer zu Bentrup [CDU/CSU]
2168,Dr. Jürgen Rüttgers [CDU/CSU]
2168,Franz Müntefering [SPD]
2168,Schäuble [CDU/CSU]
2168,Dr. Wolfgang Bötsch [CDU/CSU]
2168,Ingrid MatthäusMaier [SPD]
2168,Siegfried Hornung [CDU/CSU]
2168,Enkelmann [PDS/Linke Liste]
2168," Ja, es reicht jetzt bald! — Peter Conradi [SPD]: Regierungserklärung! — Dr. Peter Struck [SPD]"
2168,Dr. Wolfgang Schäuble [CDU/CSU]
2168,Weiß [Berlin] [Bündnis 90/GRÜNE]
2168,Manfred Opel [SPD]
2168,Norbert Gansel [SPD]
2168,Dr. Wolfgang Schäuble [CDU/CSU]
2168,Ernst Hinsken [CDU/CSU]
2168,Dr. Uwe-Jens Heuer [PDS/Linke Liste]
2168,Detlev von Larcher [SPD]
2168,Wieczorek [Duisburg] [SPD]
2168,Dr. Günther Krause [Börgerende] [CDU/CSU]
2168,Ingrid Matthäus-Maier [SPD]
2168,Regina Kolbe [SPD]
2168,Eduard Oswald [CDU/CSU]
2168,Matthäus-Maier [SPD]
2168,Dirk Hansen [F.D.P.]
2168,Ingrid Matthäus-Maier [SPD]
2168,Dr. Marliese Dobberthien [SPD]
2168,Georg Gallus [F.D.P.]
2168,Hans Klein [CDU/CSU]
2168,Irmgard Karwatzki [CDU/CSU]
2168,Hämmerle [SPD]
2168,Gansel [SPD]
2168,Gerd Andres [SPD]
2168,Eckart Kuhlwein [SPD]
2168,Otto Schily [SPD]
2168,Dr. Uwe Jens [SPD]
2168,Schreiner [SPD]
2168,Gerster [Mainz] [CDU/CSU]
2168,Eduard Oswald [CDU/CSU]
2168,Walther [Zierenberg] [SPD]
2168,Susanne Kastner [SPD]
2168,Peter Kittelmann [CDU/CSU]
2168,Siegfried Hornung [CDU/CSU]
2168,Schmalz-Jacobsen [F.D.P.]
2168,Schütz [SPD]
2168,Rüttgers [CDU/CSU]
2168,Horst Jungmann [Wittmoldt] [SPD]
2168,Lamers [CDU/CSU]
2168,Lamers [CDU/CSU]
2168,Hörster [CDU/CSU]
2168,Norbert Gansel [SPD]
