WP;NACHNAME;VORNAME;BERUF;ANREDE_TITEL;PRAEFIX;ADEL;PARTEI_KURZ;ORTSZUSATZ;GESCHLECHT;ID
1;Frühwald;Konrad;Landwirt;;;;FDP;;männlich;11000610
1;Fuchs;Gustav;Landwirt;;;;CDU/CSU;;männlich;11000612
1;Fugger von Glött;Josef-Ernst;Landwirt;;;Fürst;CDU/CSU;;männlich;11000618
1;Funcke;Oscar;Fabrikant, Unternehmer;;;;FDP;;männlich;11000621
1;Funk;Friedrich;Dipl.-Landwirt;;;;CDU/CSU;;männlich;11000622
1;Funk;Friedrich;Dipl.-Landwirt;;;;CDU/CSU;Neuses am Sand;männlich;11000622
1;Fürstenberg;Elimar;Philologe, Dozent;;von;Freiherr;CDU/CSU;;männlich;11000617
1;Fürstenberg;Elimar;Philologe, Dozent;;von;Freiherr;CDU/CSU;;männlich;11000617
1;Fürstenberg;Elimar;Philologe, Dozent;;von;Freiherr;CDU/CSU;;männlich;11000617
1;Gaul;Karl;Oberschulrat;;;;FDP;;männlich;11000640
1;Gengler;Karl;Landesarbeitsamtspräsident;;;;CDU/CSU;;männlich;11000660
1;Geritzmann;Robert;Oberbürgermeister;;;;SPD;;männlich;11000663
1;Gerns;Heinrich;Volks- und Landwirt;;;;CDU/CSU;;männlich;11000667
1;Gerstenmaier;Eugen;Präsident des Deutschen Bundestages, Oberkonsistorialrat;Dr.;;;CDU/CSU;;männlich;11000669
1;Gibbert;Paul;Winzer, Landwirt, Ökonomierat;;;;CDU/CSU;;männlich;11000676
1;Giencke;Christian;Gartenarchitekt;;;;CDU/CSU;;männlich;11000678
1;Glasmeyer;Heinrich;Bauer;Dr.;;;CDU/CSU;;männlich;11000686
1;Glasmeyer;Heinrich;Bauer;Dr.;;;CDU/CSU;;männlich;11000686
1;Gleisner;Alfred;Kaufmann;;;;SPD;;männlich;11000688
1;Gleisner;Alfred;Kaufmann;;;;SPD;Unna;männlich;11000688
